movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors/0/peopleNm,companys/0/companyCd,companys/0/companyNm,directors/1/peopleNm,directors/2/peopleNm,directors/3/peopleNm,companys/1/companyCd,companys/1/companyNm,companys/2/companyCd,companys/2/companyNm,companys/3/companyCd,companys/3/companyNm
20155423,시카리오: 암살자의 도시,Sicario,2015,20151203,장편,개봉,미국,"범죄,미스터리,스릴러",미국,범죄,드니 빌뇌브,,,,,,,,,,,
20157603,캅카,Cop Car,2015,20151210,장편,개봉,미국,스릴러,미국,스릴러,존 와츠,,,,,,,,,,,
20150202,청순한 그녀: 육체관계,Yojyouhan kakumei byakua ni shisu,2008,20151216,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,요시오,,,,,,,,,,,
20155260,화장실콩쿨,Toilet Concours,2015,20150107,단편,기타,한국,애니메이션,한국,애니메이션,이용선,20100880,CCRC STUDIO,,,,,,,,,
20154861,젊은 엄마 3,Young Mother 3,2015,20150903,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,채길병,20123221,골든타이드픽처스(주),,,,,,,,,
20158885,이웃집에 신이 산다,The Brand New Testament,2015,20151224,장편,개봉,"벨기에,프랑스,룩셈부르크",코미디,벨기에,코미디,자코 반 도마엘,,,,,,,,,,,
20158462,펜잔스의 해적,The Pirates of Penzance,2015,20151118,장편,개봉,영국,공연,영국,공연,마이크 리,,,,,,,,,,,
20158883,에브리띵 윌 비 파인,Every Thing Will Be Fine,2015,20151231,장편,개봉,"독일,캐나다,프랑스,스웨덴,노르웨이",드라마,독일,드라마,빔 벤더스,,,,,,,,,,,
20158703,트래쉬,Trash,2015,20150514,장편,개봉,미국,"어드벤처,드라마,스릴러",미국,어드벤처,스티븐 달드리,,,,,,,,,,,
20155563,어린왕자,The Little Prince,2015,20151223,장편,개봉,프랑스,"애니메이션,판타지,어드벤처",프랑스,애니메이션,마크 오스본,,,,,,,,,,,
20145021,와일드,Wild,2014,20150122,장편,개봉,미국,드라마,미국,드라마,장 마크 발레,,,,,,,,,,,
20156982,나이트 오브 컵스,Knight of Cups,2015,20151112,장편,개봉,미국,"드라마,멜로/로맨스",미국,드라마,테렌스 맬릭,,,,,,,,,,,
20150453,굿바이 그리고 헬로우,Goodbye and Hello,2015,20151225,장편,개봉,한국,드라마,한국,드라마,한창근,20138135,(주)일월미디어,,,,,,,,,
20141002,앨리스: 원더랜드에서 온 소년,Alice: Boy from Wonderland,2015,20151210,장편,개봉,한국,"판타지,공포(호러),멜로/로맨스",한국,판타지,허은희,20141157,(주)유비콘텐츠,,,,20063218,주식회사 유비컬쳐,,,,
